,text,label
51,@user @user Some people r so guilt free #SemST,0
52,Tonight - Academy of Science talk Tech solutions for climate change with Prof. Barry Brook #cantorandballtowers #Canberra #SemST,2
53,"Road to #Paris2015 ""#ADP2015 co-chairs' new tool will be presented on July 24th"" @user at @user event on #SemST",0
54,So #Christian s...  Without beaches what is your God going to make sand people out of?  #RisingSeaLevel #SemST,2
55,"National announces plan to put out fire in pantry. Rest of the house can burn baby, burn. #sameoldshit #SemST",0
56,Drought effects spreading in western NorAm and BC Gov't will destroy prime farmland to enable more #LNG #SiteC #bcpoli #SemST,2
57,loud ass thunder and three seconds of rain here #thanksobama #SemST,2
58,"Oh: Watching the #news re #Greece currently, it's ([all]) #relative re #why I'm here! Re's D #peace #GMS #Democracy #Goal??? #SemST",0
59,Today the kingdom of Bahrain participates in the High-level Event on Climate Change at the @user #UN70 #SemST,2
60,the #KarachiHeatWave death toll climbs to 1210 deaths in 5 days #carbonemissions #SemST,2
61,@user Weather patterns evolving very differently over the last few years..  #SemST,2
62,Brilliant talk from @user #Dali Lama @user #divestment is the key action for all on #Glasto2015 #SemST,0
63,Thank you @user for getting out there yesterday and highlighting  one of the most important issues we are facing. #SemST,2
64,RT @user @user @user What a wonderful exchange between two of the world's greatest men! Really touching. # #SemST,0
65,@user @user @user @user Unless it's #SemST,0
66,Bought media = advertising. Earned media = #socialmedia. Real causes do not have #botfollowers #environment #CrueltyFree #SemST,2
67,#Mission:#Climate on the road > Give your car a break (by @user #Tip #SemST,2
68,I'm in hell. I feel the fiery tips of insidious flames swiftly sauntering into my room. Or maybe I don't have AC #SemST,0
69,I'm gonna side with the really smart and well educated folks on this one guys. #SemST,0
70,"#TakeDownTheFlag & #LoveWins represent tectonic cultural shifts, thanks in no small part 2 Twitter & Facebook. Imagine same 4 #SemST",0
71,What can young people do about climate change? @user @user @user @user  #youth #SemST,2
72,@user I think the 5k has got them gripping Romey #SmackOff #valkilmer #seeingwonder #SemST,0
73,A lot of damage is being done every day. But we are going to win this. #yrcannes #CannesLions #SemST,2
74,Observations on the atmosphere and oceans reflect the human influence in climate change via Dr. Dimitra Founda #rengreece #SemST,2
75,"I really can't stand the Catholic church but I think I have a crush on #PopeFrancis ! Shhhh, don't tell!  #AnimalRights #SemST",0
76,what is at stake is the survival of our and next generation - Indigenous People Youth #UNGA #Action2015 #COP21 #SemST,2
77,#Mission:#Climate @ home > Purchase green power (if available) (by @user #Tip #SemST,2
78,@user suggests we should have schools for politicians to educate them on critical issues #WithCompassion #HHDL80 #SemST,0
79,Good luck @user for #Flight8. You will do it @user ! #solar #solarimpulse #ActOnClimate #SemST,2
80,tsgtalexander: GlblWarmingNews And the tooth fairy might be causing kids to lose teeth! #carbontaxscam #Chemtrails #SemST,1
81,"@user "" Dr. David Legates of the University of Delaware explain....higher temperatures lead to higher levels of CO2 #SemST",2
82,Rosalind Peterson addressing UN on how aerosol spraying (Chemtrails) is affecting agriculture. #NotADebate #Geoengineering #SemST,2
83,"That #Putin chap must be extremely #confused, it stuck between 2 old now #ideologies just between you & me! ""Regards D #peace #SemST",0
84,"@user @user Canada alone needs 2 invest $60 billion a year, paid for by efficiency #cdnpoli #environment #SemST",2
85,The default scientific position is skepticism. #tcot #SemST,0
86,"Hmmm, what's next re my #bucketlist I wonder in #peace in a #democratic manner re #why I'm here? #Peace #Democracy #Goal? #SemST",0
87,"Reading: ""The Whale and the Supercomputer. On the Northern Front of Climate Change"" by Charles Wohlforth #arctic #SemST",2
88,#Equity #financial #solidarity and #transparency is what #2015text needs says #Fabius at #UN #GA #SemST,0
89,#COP21 can succeed or fail. If humankind wants to survive something must be done not for nature but for humans. Simple. #SemST,2
90,".@solarimpulse I see this pick up on the rwy with the ""Follow me Andr"" sign... It should be the other way round ! #SemST",0
91,#MainauDeclaration2015.....lets push the Agenga worldwide without any fear #climatejustice2015 #SemST,2
92,Regards Dion #peace to you & all #including into the #future on a clearly #known to be #finiteinnatureplanet outta here gone #SemST,2
93,"If we do not act, we will be the generation who knew, but did not move. - @user #CFCC15 #SemST",2
94,@user @user @user unfortunate how USA refuses to take seriously damage we're responsible for #SaveTheEarth  #SemST,2
95,#FF @user @user @user @user & @user Work for a #green energy future. #SemST,2
96,If we don't do anything we will be the sad generation that had the opportunity to act and didn't #CFCC15 #Journey2015 #SemST,2
97,In the U.S. coal is dead Al Gore @user #CannesLions #SemST,0
98,"Let's all stop saying people don't ""believe"" in Climate Change. It's not a matter of faith. They don't UNDERSTAND #SemST",2
99,If like me you felt voiceless then listen to @user #libdemfightback fighting for the #HumanRightsAct #AffordableHousing #SemST,0
100,Coldest and wettest summer in memory. #mosquitoes #mowtwiceaweek #brrrr #SemST,2
101,My dogs are #panting to the beat of my music! #SemST,0
102,"@user @user Let me guess. You're a LYING, RABID LEFTIST/WARMIST USED TO TWISTING FACTS TO FURTHER YOUR AGENDA #SemST",0
103,.@CreeClayton wonderful to find you on twitter. Meet @user a Canadian working in #SemST,0
104,Ballot paper posted @user has my vote for leader. Our Liberal voice will be heard #HumanRightsAct #AffordableHousing #SemST,0
105,@user And yet James Inhofe tells us that global warming isn't real. #SemST,2
106,"as they say touch-wood say tomorrow then I will #democratically be back this way!?!! Re's D #peace ""really"" gone #Democracy #SemST",0
107,"With no rain in the next 5 days, it would have been the driest June in #Santiago de #Chile in morden history. #SemST",2
108,Is there a breeze i can catch Lakefront or will I die of a heat stroke there as well? #heatstroke #SemST,2
109,".@RobSilver What are the chances, @user #Kyoto #CPC? #cdnpoli #SemST",0
110,"This Pope. I swear, he is about to tempt my wayward ass back to the church. #love #justice #SemST",0
111,@user @user It's sad to be the last generation that could change but does nothing. #Auspol #SemST,2
112,[Man] cannot change the climate of any country; he adds no new element to the soil ~ Charles Darwin #anthropocene #SemST,1
113,"All eyes on China, reports @user -  plan building on agreement with US re: #emissions expected soon #cop21 #ghg #SemST",2
114,"Thank you to all our 300 followers, helping us to raise awareness of #HumanRights #SOSEurope #prisonersofconscience #torture #SemST",0
115,SO EXCITING! Meaningful climate change action is on the way! #abpoli #GHG #SemST,2
116,@user @user pfft...we're getting that next week #standard #SemST,0
117,"Not to worry, sediment cores prove shellfish & coral will recover in just 160,000 years. #oilandgas #rbe #tvp #SemST",2
118,Climate change?! Explain the definition of climate change.. #fraud #CCOT #liberty #CruzCrew #SemST,1
119,#Northwest #HeatWave continues. First time. Ever. My tomato plants have fruit. In JUNE! #Oregon #Organic #SemST,2
120,"Noted climatologist, marine biologist,& oceanographer Ted Danson told us 27 yrs ago that the oceans would be dead in 10 yrs. #SemST",1
121,It's so unfortunate that the systematic destruction of our planet is merely seen to some as a political issue. #SemST,2
122,@user @user @user time will prove who's right. #disease #drought #obesity #SemST,2
123,"Btw, @user -@potus , seem as though you^ve been LOSING in the fight AGAINST . #SemST",0
124,BC continues to burn. If this ain't a wake up call to everyone then nothing will be #Vancouver #bcwildfires #SemST,2
125,".@ClimatParis2015, the climate science forum begins today. Follow its progress on #CFCC15 #SustainableDevelopment #SemST",2
126,"I don't want to be ""that guy"" but can we now make ""climate change denier marriage"" illegal? #MarriageEquaility #Idea #SemST",2
127,At 2C increase we're expecting 20-30% species at risk of #extinction Rosina Bierbaum #CambioClimtico #SemST,2
128,Questions about the @user report?  #asklancet tweet chat happening now! #actonclimate #ClimateHealth #SemST,2
129,"What a great week for social issues #SCOTUS Now, let's get to work on #environment and #SemST",2
130,.@quinn43 Thanks for the follow. Check out CCL for solutions. #solutions #citizensclimatelobby2015 #SemST,2
131,"Today is June 27th and it's 66 degrees out, wtf. #takeme2thecarribean #anywhereneartheequator #SemST",2
132,Rt easyprintitja: Rt FirstKingTre: Freak #rain in Kingston #Jamaica.. sudden #skuii876 #SemST,0
133,@user He hit the nail on the head. We're (hopefully) on the edge of a paradigm shift on #SemST,0
134,The facts are in. It is clear as our numbered days. Climate change is humanity's fault. And we are facing extinction. #SemST,2
135,"If you say climate change is a myth, you may want to become a fantasy author since you already live in an alternate reality. #SemST",2
136,RT @user RT @user #ClimateFact India may stand to lose 1.8% of its annual GDP by 2050 due to #SemST,2
137,The Climate Change people are disgusting assholes. Money transfer scheme for elite. May you rot.   #SemST,1
138,We are working to elect climate-friendly governments across North America #FeelTheBern #NDP #LPC #GPC #BQ #HARPERPAC.CA #SemST,2
139,Look out for the hashtag #UKClimate2015 for news today on how the UK is doing in both reducing emissions and adapting to #SemST,2
140,@user I'm guessing there was a lot less humidity back in the time of Moses. #SemST,2
141,#Mission:#Climate on the road > Drive less (by @user #Tip #ImpactIsReal #SemST,2
142,. @user EU is spending the 300 billion collected through environmental tax on fossil fuel subsidies #Almedalen #SemST,2
143,Sunny  Rainy bipolar weather. Wow real quick ma nigga #SemST,0
144,Can we build #thorium #LFTR now. Before its 200 degrees during summer. #MyACSucks #SemST,2
145,"Barack Obama meets David Attenborough, I'm so ready for this and I cannot wait! 89 year's old and always on form #legend #SemST",0
146,"This just in: Republican Primary Debates are down to topic of ""Who Wore It Better?"" #LoveWins #MarriageEquaility #Obamacare #SemST",0
147,Everyone is busy building their bank accounts but one day that paper won't help you during massive natural calamities. #SemST,2
148,Great meeting @user and @user today to discuss Future Cities and how UK expertise can be shared & applied in #China #SemST,0
149,Vallaud-Belkacem: Are we the generation who knew what would happen but who did nothing? Say no! #wakeup #CFCC15 #SemST,2
150,"Everywhere we look, moderate weather seems to be going extinct. #robertredford #UN #SemST",2
151,There has never been a better time to get the heck out of California. #vaccines #science #gmo #bees #autism #gmo #sb277 #SemST,0
152,.@MexONU : #GreenClimateFund projects must be long-lasting & lay the groundwork for low-carbon development economic models #SemST,2
153,#Mission:#Climate @ home > Reduce . Reuse . Recycle . Replenish . Restore  (by @user #Tip #EarthRightNow #SemST,2
154,The carbon clock is ticking @user #SurplusGas #carbon #gas #SemST,2
155,#MainauDeclaration2015 watch out guys.. This is HUGE!! #LindauNobel #SemST,0
156,#TonyAbbott hope you're watching President Obama talking about #SemST,0
157,RT varunkr842: #Please_Save_Trees for our own #Survival to fight #Saveourplanet #SemST,2
158,Wearing a sweater at the end of June! #itfeelslikespring #SemST,2
159,Confession: the state of the world has been getting me down lately.  #deathsincustody #everydayracism #SemST,0
160,Last Thursday Lake Mead (the largest U.S. reservoir) had the lowest water level reported since 1937 #HistoryInTheMaking  #SemST,2
161,@user Please don't let him win this. Your loyal readers support you. #SemST,0
162,Stormiest 2014-2014 in Ireland and UK in 143 years. That saying something @user @user   #SemST,2
163,#Transpregnancy #transgender is a major reason why scientists can't find a cure to #cancer #aids #SemST,0
164,John Watterson is attending IPPC meeting to help shape the future of international greenhouse gas emission estimation methods #SemST,2
165,Artic Ice highest in 10 years for the month of June..yet no headlines.. #scam #SemST,1
166,World Futures Council man at #fsds15 points out absurdity of cost benefit analysis discounting future lives #sustainability #SemST,2
167,@user Shit. Who set the Supreme Court to Evil again?  #SemST,0
168,RT @user Timelines are short. Strategy must be in place by climate change conference in Paris by December. #ableg #SemST,2
169,Stress on #water resources threatens lives and livelihoods #anthropoceneage #sustainability #SemST,2
170,RT @user One of the most brilliant BS stories created by man to subjugate others:  #LeftistLiesIsBS #SemST,0
171,@user images like this make me fearful that the next epidemic must be coming soon. #overpopulation #SemST,0
172,Oh my lord! So hot and humid for few days now. Can u stop cutting trees and cut down ur emissions World??? #SavetheWorld #SemST,2
173,"We Aren't The Dinosaurs, We're The Asteroid. #earth #extinction #SemST",2
174,A changing planet: 4 places where climate change is taking its toll #SemST,2
175,America is changing faster like speed of the light #ConfederateTakeDown  #LoveWins #SemST,0
176,News flash for all the haters!! THE EARTH IS ROUND! #LoveWins #SCOTUS #SemST,0
177,"It doesn't simply rain in Houston anymore, it storms.  #SemST",2
178,RT @user When the rate of #Utilisation exceeds the rate of #Regeneration then it calls for #DEGRADATION. #michachallen... #SemST,0
179,Australia is leading the way. Backwards. #MarriageEquaility #auspol #SemST,0
180,11% reduction is this a joke? Our govt seems to be more concerned about flag change than #SemST,0
181,@user  yes but silica dust emissions are up and little is done about it at the state level and it effects #SemST,2
182,"Seriously, how many times can #Republicans be wrong? #ACA #LGBTRights #GovernmentShutdown #AutoBailout #StimulusSpending #SemST",0
183,"Evening @user any #democratic thoughts as yet? I get #bored easy re the #politics of it all hop hop, regards D #peace #GMS #SemST",0
184,"Thx @user @user had fun in my home county, will be back later this summer with @user up 4 #SemST",0
185,If you do not repent your emission of CO2 you will end up in hell #bible #SemST,2
186,I am thinking of turning the central heating off. :) #SemST,0
187,Scary stat of the day: 7% of the area of urban greenspace in England has been lost since 2001 @user #SemST,2
188,Don't act as if we have another planet to live in #COP21 #SemST,2
189,"COPS, UN conferences, board room meetings till when shall this continue when innocent lives and livelihoods are lost.  #SemST",0
190,until newyork london frankfurt knee deep in sea #water NOTHING will happen @user #cop21 #co95=FREE parties @user #SemST,2
191,I can literally sense the global warming NOW.  #SemST,2
192,#seattle 72 degrees. Trying to sleep with industrial fan--sounds like choppers are circling the house. #HeatWave #SemST,2
193,#Mission:#Climate @ home > Buy drinking water & soda in big bottles... #Tip #SemST,2
194,BIG #DecaYeah and Happy #Smackoff / #EichelDay to @user & @user #ValKilmer #Bust #SemST,0
195,@user congress. @user :Dutch way in reducing greenhouse gasses agriculture is excellent example combat #SemST,2
196,@user @user gutted I've missed this would have loved to hear this talk. Africa represented #SemST,0
197,The amount of hot takes coming from #LoveWins is the single most significant cause of . #ThanksObama #SemST,0
198,.@BlissTabitha I'm sure this Eco-Friendly Pope will remember to Turn-Off-the-Lights on his way out #LastPope  #PopeForPlanet  #SemST,2
199,When U think about #GOP positions on #MarriageEquality #EqualPay #Guns & #Marijuana its no surprise they don't believe in #SemST,0
200,Every human commits original sin with it's first outbreath of CO2. Mankind is fallen. #bible #SemST,2
201,"When debunking climate myths: fight sticky myths with stickier facts, mention the myth and explain the fallacy!  #SemST",2
202,@user @user @user USA is behind....due to IDIOCY #SemST,0
203,@user religion / race have already been disproven by reason and science. I wonder what we can do about politics #drought #SemST,0
204,@user meets @user on #TVNZOne interview on his life and the effects of #SemST,0
205,"It's ""mindblowing"" to me to watch this, #SirDavidAttenborough. #SemST",0
206,Pittsburgh had a Regatta without boats. River full of debris and swift currents. Too dangerous #SemST,0
207,@user :  change from #drivable to #walkable = #1 benefit 4 #APANE2015 #SemST,2
208,@user there has been a ton of lightning up there every other day for the past week! #lolz #SemST,0
209,There is need for world economic powers to be true about climate change funding. The world needs action not empty rhetorics #SemST,2
210,"''this is the planet on which we live, it's the only one we've got and we've got to protect it.'' #Obama #Attenborough #SemST",2
211,Working with artists & culture is key to weave through the efforts we're doing #grassroots #SemST,0
212,"@user - Yet another I #pray in my ""own"" way day re #why I'm online, that #important this I know! ""Regards"" Dion #peace #Future #SemST",0
213,We could do something...the question is will we says @user #sustainability #SemST,2
214,"Without a place for feeding, mating and giving birth, there is no future for polar bears :( #SemST",2
215,Climate change is a solvable problem but we need to start today. #HHDL80 #SemST,2
216,Considering moving yo Antarctica as thats the only way I could possibly become more #chill #SemST,0
217,. @user Well-designed tax policies can help fix a number of environmental issues #ITDconf #COP21 #SemST,2
218,Scorching summers for UK by end of the century! Thank Rocks I won't be here to suffer them! :-)  #SemST,2
219,@user - You are not very smart Donald #SemST,0
220,@user He's not perfect. Who among us is?  ;-)  #encyclical #SemST,0
221,"As a general rule, mandatory things of all kinds should be refused. #vaccines #gmo #science #bees #fitness #sb277 #nutrition #SemST",0
222,V @user V @user The Biggest Story In World Podcast @user @user @user of @user STUPIDITY And IGNORANCE! #SemST,0
223,GlblWarmingNews And the tooth fairy might be causing kids to lose teeth! #carbontaxscam #Chemtrails #SemST,1
224,"@user - feel! I'll bin this one & upload a newer mix in a few days see which version you like better, re's D #peace #SemST",0
225,@user #innovation of super converter on fishing boat w/ no more use of fossil fuel is looking for funding scheme in #SemST,2
226,Fossil fuel divestment won't necessarily stop climate change but it is a step in the right direction. #keepitintheground #SemST,2
227,@user @user Funny how you all of a sudden refer to him as a weatherman now  #climatechange...weather. #SemST,2
228,"Second heatwave hits NA NW popping up everywhere, and floods too, record wildfires in canada, what a mess,  time up! #SemST",2
229,@user CONGRATULATIONS to the DUTCH!!!!!!! GOOD WORK!!!!!! #Change #SemST,0
230,"The #greatman @user met #greatman David Attenborough & change seems possible, attainable. Listen up! #Attenborobama #SemST",2
231,"Yo if you live in the United States right now, and do not believe in Global Climate Change, you're a fucking idiot. #fact #SemST",2
232,#FF @user @user @user @user & @user Work for a #green energy future. #SemST,2
233,@user @user Installing new #ForestFire navigation systems? #NoKinderMorgan #NoTarSands #cdnpoli #SemST,0
234,Wish everyone wasn't so pale this season #suntan #babyoil #TheBachelorette #SemST,0
235,"Feeling like #SCOTUS got it right, right, right ... then very wrong. Sigh. #Climatedenial #SemST",2
236,Did u know th #SCOTUS is 2 Decide If #Coal Plants Can Keep #Emitting Unlimited #Mercury 2 r atmosphere? #POTUS #Gop #Justices #SemST,2
237,Why is nothing being done about  #SemST,0
238,"Delivering good jobs for Albertans, maintaining a stable economy & meeting climate change strategy. Good goals. #abpoli #GHG #SemST",2
239,"I bet as a species, Man farts more today due to: Soda, Carbonated Beverages & Fast Food than any other recorded era before. #SemST",0
240,"Islamists kill in France, Tunisia and Syria. But let's remember that our greatest threat is from the #hoax formerly known as #SemST",0
241,"Went for a run, now I can't feel my legs and my brain feels like it's boiling. #SemST",0
242,@user He Is psychic 2  Huh #SemST,0
243,"@user no surprise with this, @user has some ideas on how to take a holistic approach #circulareconomy #SemST",0
244,"@user @user excellent speech! Well done. showed ur video to Birdie,she is ready to be part of the change. #rise #SemST",0
245,@user @user we're way behind everybody on just about everything  #gaymarriage #asylumseekers #SemST,0
246,@user my lawn is burnt two days after rain #yeg #SemST,0
247,The best call still and will always be Matt in Cleveland. #KirstieAllie #ValKilmer #SemST,0
248,"@user , before we can defeat ISIS we first must defeat #SemST",0
249,@user the real question is do you feel safe driving a Prius through Harrison?  #SemST,0
250,Why all talks #Rainforests? 1/6 of the World Russia is not less important ! #DoctorCarbon Advocate #sustainability !   #SemST,2
251,"Obama & Attenborough brilliant, heart felt & honest  Why can't we have such a discussion here in Oz  #renewables #abc #auspol #SemST",2
252,"China, I had plans to work on other things today. Rude. #EUChina #SemST",0
253,If ther clmate change alarmists come out in sept this year and tell me this was the hottest winter on record ill go postal #SemST,1
254,"@user I'm with you there, plenty of followers on that do to #environment #greenvegans #plugging #SemST",2
255,Why is there no #CaptainPlanet movie??? Rt if u want one. #environment #planet #earth #SemST,0
256,@user @user Yea Yea Yea Yea #Smackoff #ValKilmer #SeeingWonder #BumSmack #SemST,0
257,Pope Francis really makin the rounds  #PopeFrancis #SemST,0
258,U.S. Should hold referendum prior to Paris talks to gauge American support for dealing (hopefully leading) on #SemST,0
259,RedScareBot: Simple Malarkey RT gingerdr Global Warming/Climate Change all a HOAX. Communist agenda for control #sustainabil... #SemST,1
260,#heatstroke in Sind & Rajasthan temperature Incresng in frozen areas #earthquake rain shower reduced A massive climate change #SemST,2
261,(1/2) Poisoning of the #Biosphere cannot be dealt with by free market economics;  #TaxWallStreet #Environment #GMO #SemST,2
262,As the world emitted CO2 water vapour built up in the atmosphere and caused the Lord to send the flood in retribution #bible #SemST,2
263,"Top-down approach is not only the solution , global governments must act together with global community against #SemST",2
264,"President Tong tells story of vulnerability & resilience of #Kiribati, #Maldives & other low-lying states & SIDS #Action2015 #SemST",0
265,' taking a stand to preserve traditional sea levels' #SemST,2
266,There use to be a glacier on the equator. #SemST,2
267,"Need to separate natural disasters from man made disasters, emphasise polluter pays,and need for loss and damage. #TuvaluPM  #SemST",2
268,Australia...your turn to watch Obama & Attenborough @user #SemST,0
269,"Monsignor Sanchez Sorondo: ""Earth is sick. We need to heal it. #SemST",2
270,Sea level rise by the end of the century (1-2 meters) will drown SF airport and LA port. @user #WithCompassion #SemST,2
271,"Raining again then Im sure, it wi suddenly get warm again right after. #SemST",2
272,We're growing vegetables at home. Tell your friends and followers what you're doing for climate! #myChangeForClimate #SemST,2
273,#Mission:#Climate @ home > Defrost old fridges and freezers regularly #Tip #LoveOurPlanet #SemST,2
274,"LED lights, water saving toilets, showerheads, appliances etc. when we renovate, we choose efficient.   #myChangeForClimate #SemST",2
275,"Last time I checked, Al Gore is a politician, not a scientist.. #WCS15 #SemST",1
276,Government trusts you to listen to the narrative but never enough to let you see the proof... #SemST,0
277,@user Kudos to these young people! Next generation of activists! #OnlyOneEarth #SemST,2
278,"I'm blowing AC with the top off, in the middle of the night, in Oregon.. #SemST",2
279,We need integrated #science with #indigenous knowledge to understand & adapt to  #CFCC15 #SemST,2
280,Water temperature off the Atlantic  coast is in the 80s in June. We are like proverbial frogs in boiling water #climate #SemST,2
281,BrettGarrot: BrettGarrot: GlblWarmingNews And the tooth fairy might be causing kids to lose teeth! #carbontaxscam #Chemtrails #SemST,1
282,"The + 1 is a #democratic dip in ""deeper waters"" & no more re #why I'm here, regards Dion #peace #Democracy! #Goal? #Future??? #SemST",0
283,When your wearing sweaters in the summer #SemST,2
284,@user @user  The Snow is melting? #TCOT #SemST,0
285,"A high emissions scenario would be a disaster for marine life, as well as for ourselves - Dr Williamson #SemST",2
286,@user afterwards can they call @user and advise him he needs to act on #auspol #SemST,0
287,Just read Scalia's idiotic opinion overturning the EPA's carbon emissions limits. Planning to spend day in a seething rage. #SemST,2
288,"Cause and Effect - Dry conditions, wildfires.  #Preventable #HumanCaused #SemST",2
289,Most people say that it is the intellect which makes a great scientist. They are wrong: it is character. ~ Albert Einstein  #SemST,0
290,"Appropriate that I'd watch the Futurama episode ""Crimes of the Hot"" before the hottest weekend so far this summer. #futurama #SemST",0
291,"#Mission:#Climate @ home > Pass your magazines on to a friend, hospital, library, or nursing home. (by @user #Tip #SemST",2
292,People at the bar bitching about the heat and drought. No one utters the words #fossilfuel caused #elephantintheroom #denial #SemST,2
293,"At what point do we rename summer ""The Rainy Season""? #Cdnpoli #SemST",2
294,"So, its 20 degrees celcius in mendoza argentina beginning of winter  #mendoza #SemST",2
295,"Around 1500 new homes being built every year in England in areas at high risk of #floods, adding to risk from #UKClimate2015 #SemST",2
296,"BREAKING: This just in, an ocean wave just broke an inch further on the beach than normal! #SemST",1
297,#Netherlands just taught the rest of the world a very important lesson.  #SemST,0
298,@user The French? you mean the nation that builds tanks with a rear view mirror and six gears in reverse. #SemST,0
299,#AnnapurnaVancheswaran says it took 2 years to cut through the #bureaucracy & speak to Indian #government about #pivotal15 #SemST,0
300,Great to hear @user @user remind us #diversity needed for best #innovation #ESS15 #americaknowshow #SemST,0
301,"#AskRobertRedford Beyond the national level, what can be done on the individual level to mitigate the effects of #SemST",2
302,Eating a cow is 9x worse than eating a chicken in terms of CO2 emissions. #SemST,2
303,@user OK yeah that's bad... but Vancouver literally never used to get this hot #laudatosi' #SemST,2
304,A Dutch court has ruled that the gov must cut emissions under human rights law! Interesting. #climatejustice2015 #SemST,2
305,Just got canvassed! Hope you'll join me in supporting @user this summer! #solar #peoplepower #SemST,2
306,Go Dutch New meaning: citizens take their governments to court to make them act on climate promises #Hague #Hope #COP21 #SemST,2
307,It's hotter in Oregon then it is in California right now. #SemST,2
308,"Clean technology, this is your moment #innovation #technology #davidattenboroughismyhero #SemST",2
309,@user @user Maybe they just misused their resources and their societies collapsed #deforestation #SemST,2
